id,name,diamond_count,type,combo,is_displayed_on_panel,image_url,panel_order
440713,棕爪,5,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/d3ec6b968ebf9b96dc938f165f71d939.png~tplv-obj.webp,434
10165,钻石飞舞,18000,2,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/ada51a63094568b529b5efd83b182bc4.png~tplv-obj.webp,435
13032,秋日野餐,1300,2,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/f33e074aa9308800afec8c0ecaa0ef42.png~tplv-obj.webp,436
607191,Maro 蜘蛛侠,15000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/b8ebcb8f9952959c5349d92c18ff8256.png~tplv-obj.webp,437
18339,征服者尤利乌斯,43999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/78260c7f1dac82bd979279b5e04bffeb.png~tplv-obj.webp,438
16527,直播排名皇冠,299,4,false,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/1bb7f00a3adeb932e5f5518d723fedb5.png~tplv-obj.webp,439
12944,动感音乐,4888,2,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/001c4ea85c78e9b35b5ae3228686a24c.png~tplv-obj.webp,440
677594,Corgi's Drone Show,20000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/f301d715e8f34d713c6d5b9cfa14fd28.png~tplv-obj.webp,441
973050,木钓竿,100,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/a29960e0b8d92d37adfe6c083856421a.png~tplv-obj.webp,442
19068,联盟奖杯,599,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/fe5bf1d97adafcdc675222a9facfe6ee.png~tplv-obj.webp,443
6093,足球,1,1,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/c043cd9e418f13017793ddf6e0c6ee99~tplv-obj.webp,444
60074,铁粉狂欢,400,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/ecb8f62b08087f2740890d18e13342a6.png~tplv-obj.webp,445
